source_id,target_id,freq,avg_conf,npmi,lr_log,slope_log1p,weight_final,final_score,status,first_year,last_year,is_emerging,action_match,type
978,3880,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2024,2024,False,1,TECH_FUNC
923,4214,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2017,2017,False,1,TECH_FUNC
579,2905,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2022,2022,False,1,TECH_FUNC
649,2658,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2014,2014,False,1,TECH_FUNC
1719,7696,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2022,2022,False,1,TECH_FUNC
1487,7324,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5174723149546093,suppressed,2021,2021,False,1,TECH_FUNC
2389,10610,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2025,2025,False,1,TECH_FUNC
1994,8197,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2015,2015,False,1,TECH_FUNC
1846,8329,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2019,2019,False,1,TECH_FUNC
2106,8006,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2020,2020,False,1,TECH_FUNC
3219,12420,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2024,2024,False,1,TECH_FUNC
3225,12649,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2017,2017,False,1,TECH_FUNC
3226,12656,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2017,2017,False,1,TECH_FUNC
3154,13138,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2016,2016,False,1,TECH_FUNC
2727,11295,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2024,2024,False,1,TECH_FUNC
2556,11451,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2022,2022,False,1,TECH_FUNC
568,3660,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2020,2020,False,1,TECH_FUNC
549,3574,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2024,2024,False,1,TECH_FUNC
921,3868,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2014,2014,False,1,TECH_FUNC
1062,1898,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2024,2024,False,1,TECH_FUNC
784,4348,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2024,2024,False,1,TECH_FUNC
812,4624,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2015,2015,False,1,TECH_FUNC
1022,1547,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2016,2016,False,1,TECH_FUNC
1052,4078,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2021,2021,False,1,TECH_FUNC
944,3920,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2023,2023,False,1,TECH_FUNC
926,4222,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2017,2017,False,1,TECH_FUNC
570,2522,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2024,2024,False,1,TECH_FUNC
737,3027,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2021,2021,False,1,TECH_FUNC
1540,2589,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2020,2020,False,1,TECH_FUNC
1586,6641,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2023,2023,False,1,TECH_FUNC
1511,6518,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2019,2019,False,1,TECH_FUNC
1440,7326,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2011,2011,False,1,TECH_FUNC
1186,7316,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2011,2011,False,1,TECH_FUNC
1191,7177,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2018,2018,False,1,TECH_FUNC
1148,2218,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2017,2017,False,1,TECH_FUNC
1131,4870,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2020,2020,False,1,TECH_FUNC
1369,5988,1,0.7285,0.9999973212502988,8.468842920947191,,0.182125,0.5172020446843391,suppressed,2022,2022,False,1,TECH_FUNC
